method,episode_idx,episode_id,start_index,goal_index,sampled_goal_gap,coverage_success,goal_state_success,state_dist,final_latent_distance,start_latent_distance,planning_latency_sec,max_coverage,final_coverage,steps_taken,skill_consistency,video_path
flat,0,0,52,78,26,False,False,321.1493225097656,0.01786930114030838,0.00562776904553175,0.5552281750133261,0.17450593355568816,0.17450593355568816,32,0.0,flat_episode_000.gif
flat,1,0,38,70,32,False,False,313.0252685546875,0.010769973509013653,0.002925004344433546,0.5255560250006965,0.17450593355568816,0.17450593355568816,32,0.0,flat_episode_001.gif
flat,2,0,32,62,30,False,False,463.59136962890625,0.014617185108363628,0.004484407603740692,0.5911646000022301,0.17450593355568816,0.17450593355568816,32,0.0,flat_episode_002.gif
flat,3,0,46,72,26,False,False,678.9715576171875,0.01510724239051342,0.016220716759562492,0.523129062501539,0.17450593355568816,0.17450593355568816,32,0.0,flat_episode_003.gif
flat,4,0,3,29,26,False,False,577.2562866210938,0.00017876652418635786,0.011859335005283356,0.5245126125009847,0.17450593355568816,0.17450593355568816,32,0.0,
flat,5,0,15,46,31,False,False,214.90435791015625,0.00017876652418635786,0.01407458633184433,0.5253687750009703,0.17450593355568816,0.17450593355568816,32,0.0,
flat,6,0,51,75,24,False,False,779.4170532226562,0.014422043226659298,0.015558923594653606,0.5253995499951998,0.17450593355568816,0.17450593355568816,32,0.0,
flat,7,0,27,58,31,False,False,331.0671081542969,0.012044180184602737,0.0013789432123303413,0.5245296374996542,0.17450593355568816,0.17450593355568816,32,0.0,
flat,8,0,7,38,31,False,False,285.77032470703125,0.004639537539333105,0.006178615149110556,0.5251398874970619,0.17450593355568816,0.17450593355568816,32,0.0,
flat,9,0,6,34,28,False,False,181.23196411132812,0.001754135824739933,0.0007845931686460972,0.5287761125073303,0.17450593355568816,0.17450593355568816,32,0.0,
flat,10,0,45,71,26,False,False,906.0348510742188,0.016348617151379585,0.017645105719566345,0.5242062874967814,0.17450593355568816,0.17450593355568816,32,0.0,
flat,11,0,19,45,26,False,False,431.6592712402344,0.00017876652418635786,0.012686478905379772,0.5250294624856906,0.17450593355568816,0.17450593355568816,32,0.0,
flat,12,0,40,66,26,False,False,217.1262664794922,0.006802365183830261,0.0013311009388417006,0.5279044625058305,0.17450593355568816,0.17450593355568816,32,0.0,
flat,13,0,55,79,24,False,False,430.5513610839844,0.0145298196002841,0.002547019626945257,0.5284968624982866,0.17450593355568816,0.17450593355568816,32,0.0,
flat,14,0,24,52,28,False,False,321.8517150878906,0.010120207443833351,0.0017278781160712242,0.5295347250066698,0.17450593355568816,0.17450593355568816,32,0.0,
flat,15,0,28,57,29,False,False,578.2734985351562,0.010466916486620903,0.011454500257968903,0.526795037498232,0.17450593355568816,0.17450593355568816,32,0.0,
flat,16,0,30,58,28,False,False,388.09002685546875,0.012044180184602737,0.004147260449826717,0.5251800375117455,0.17450593355568816,0.17450593355568816,32,0.0,
flat,17,0,55,79,24,False,False,356.9021301269531,0.0145298196002841,0.002547019626945257,0.5252701749996049,0.17450593355568816,0.17450593355568816,32,0.0,
flat,18,0,45,76,31,False,False,955.2840576171875,0.014972975477576256,0.01603388972580433,0.5269242999929702,0.17450593355568816,0.17450593355568816,32,0.0,
flat,19,0,39,68,29,False,False,224.86651611328125,0.007331939414143562,0.0013801984023302794,0.526941287513182,0.17450593355568816,0.17450593355568816,32,0.0,
flat,20,0,19,51,32,False,False,262.03912353515625,0.00017876652418635786,0.012686478905379772,0.5539196874960908,0.17450593355568816,0.17450593355568816,32,0.0,
flat,21,0,26,51,25,False,False,309.1061706542969,0.00017876652418635786,0.013515020720660686,0.5266881250063307,0.17450593355568816,0.17450593355568816,32,0.0,
flat,22,0,47,72,25,False,False,880.4675903320312,0.01510724239051342,0.016220716759562492,0.5252280499989865,0.17450593355568816,0.17450593355568816,32,0.0,
flat,23,0,48,76,28,False,False,137.0802459716797,0.0008615115657448769,0.0020690576639026403,0.5274969375095679,0.17450593355568816,0.17450593355568816,32,0.0,
flat,24,0,6,30,24,False,True,11.134424209594727,0.0012650033459067345,0.00604536896571517,0.5232792833509544,0.17450593355568816,0.17450593355568816,22,0.0,
flat,25,0,24,48,24,False,False,460.25628662109375,0.012153694406151772,0.0018121827160939574,0.5262983000066015,0.17450593355568816,0.17450593355568816,32,0.0,
flat,26,0,7,35,28,False,True,12.35081958770752,0.0008781838696449995,0.001008695224300027,0.5370444250002038,0.17450593355568816,0.17450593355568816,16,0.0,
flat,27,0,54,78,24,False,False,397.5972900390625,0.01786930114030838,0.004590968601405621,0.5238344625176978,0.17450593355568816,0.17450593355568816,32,0.0,
flat,28,0,45,77,32,False,False,919.6446533203125,0.020700788125395775,0.021893896162509918,0.5250082499987911,0.17450593355568816,0.17450593355568816,32,0.0,
flat,29,0,46,75,29,False,False,754.275146484375,0.014422043226659298,0.015558923594653606,0.5258609625088866,0.17450593355568816,0.17450593355568816,32,0.0,
flat,30,0,24,52,28,False,False,141.10910034179688,0.010120207443833351,0.0017278781160712242,0.5266784000050393,0.17450593355568816,0.17450593355568816,32,0.0,
flat,31,0,14,42,28,False,False,46.61470031738281,0.001911675906740129,0.0007927257101982832,0.5262037999782478,0.17450593355568816,0.17450593355568816,32,0.0,
flat,32,0,21,47,26,False,False,247.44439697265625,0.00017876652418635786,0.01027483306825161,0.526846150009078,0.17450593355568816,0.17450593355568816,32,0.0,
flat,33,0,55,79,24,False,False,279.18902587890625,0.005438815802335739,0.002547019626945257,0.5286411625202163,0.17450593355568816,0.17450593355568816,32,0.0,
flat,34,0,0,24,24,False,False,333.587158203125,0.010262871161103249,0.004082526080310345,0.5368519000112428,0.17450593355568816,0.17450593355568816,32,0.0,
flat,35,0,10,42,32,False,False,357.9725646972656,0.011694081127643585,0.0009032421512529254,0.5855976374878082,0.17450593355568816,0.17450593355568816,32,0.0,
flat,36,0,38,69,31,False,False,450.7563781738281,0.006805415730923414,0.002398902550339699,0.6116589749872219,0.17450593355568816,0.17450593355568816,32,0.0,
flat,37,0,11,41,30,False,False,273.76055908203125,0.009872211143374443,0.0009743465925566852,0.6002776124951197,0.17450593355568816,0.17450593355568816,32,0.0,
flat,38,0,20,48,28,False,False,500.98614501953125,0.012153694406151772,0.0031238689552992582,0.6019603999884566,0.17450593355568816,0.17450593355568816,32,0.0,
flat,39,0,0,29,29,False,False,101.0251693725586,0.00017876652418635786,0.005531036760658026,0.5972112125164131,0.17450593355568816,0.17450593355568816,32,0.0,
flat,40,0,46,75,29,False,False,813.29736328125,0.014422043226659298,0.015558923594653606,0.6039174375109724,0.17450593355568816,0.17450593355568816,32,0.0,
flat,41,0,8,36,28,False,False,69.26113891601562,0.0008518306422047317,0.0007795739220455289,0.6113591874964186,0.17450593355568816,0.17450593355568816,32,0.0,
flat,42,0,14,46,32,False,False,235.899169921875,0.009896836243569851,0.014959456399083138,0.600181337496906,0.17450593355568816,0.17450593355568816,32,0.0,
flat,43,0,49,74,25,False,False,261.217529296875,0.013306550681591034,0.0018037738045677543,0.5997668625059305,0.17450593355568816,0.17450593355568816,32,0.0,
flat,44,0,28,60,32,False,False,514.753662109375,0.01612943783402443,0.01728185825049877,0.5964977875046316,0.17450593355568816,0.17450593355568816,32,0.0,
flat,45,0,47,77,30,False,False,930.9539184570312,0.020700788125395775,0.021893896162509918,0.5922237124977983,0.17450593355568816,0.17450593355568816,32,0.0,
flat,46,0,35,59,24,False,False,195.29840087890625,0.013164344243705273,0.001049986109137535,0.5468962124941754,0.17450593355568816,0.17450593355568816,32,0.0,
flat,47,0,41,69,28,False,False,261.4302978515625,0.006805415730923414,0.003454082179814577,0.5975935499882326,0.17450593355568816,0.17450593355568816,32,0.0,
flat,48,0,5,31,26,False,False,46.24037170410156,0.0011834818869829178,0.004427414387464523,0.5969992750033271,0.17450593355568816,0.17450593355568816,32,0.0,
flat,49,0,30,60,30,False,False,521.6626586914062,0.01612943783402443,0.0056115491315722466,0.5478644249888021,0.17450593355568816,0.17450593355568816,32,0.0,
flat,50,0,28,57,29,False,False,95.05261993408203,0.0018255568575114012,0.011454500257968903,0.555901587511471,0.17450593355568816,0.17450593355568816,32,0.0,
flat,51,0,48,77,29,False,False,215.99404907226562,0.0018013054504990578,0.004267987795174122,0.6468203625117894,0.17450593355568816,0.17450593355568816,32,0.0,
flat,52,0,20,49,29,False,False,464.05126953125,0.00960090197622776,0.002746786456555128,0.6204532374977134,0.17450593355568816,0.17450593355568816,32,0.0,
flat,53,0,33,57,24,False,False,664.0924072265625,0.010466916486620903,0.0013956734910607338,0.5637111874966649,0.17450593355568816,0.17450593355568816,32,0.0,
flat,54,0,3,32,29,False,True,16.8167667388916,0.0009992097038775682,0.002926623448729515,0.6277964500186499,0.17450593355568816,0.17450593355568816,8,0.0,
flat,55,0,21,50,29,False,False,155.9613037109375,0.0008000148227438331,0.003214230528101325,0.6052326999924844,0.17450593355568816,0.17450593355568816,32,0.0,
flat,56,0,18,44,26,False,False,133.70089721679688,0.008670429699122906,0.0021341857500374317,0.5927962374844356,0.17450593355568816,0.17450593355568816,32,0.0,
flat,57,0,8,35,27,False,False,270.3459777832031,0.013190165162086487,0.0009085767669603229,0.5789460000014515,0.17450593355568816,0.17450593355568816,32,0.0,
flat,58,0,45,72,27,False,False,626.0908813476562,0.01510724239051342,0.016220716759562492,0.6065215499911574,0.17450593355568816,0.17450593355568816,32,0.0,
flat,59,0,21,50,29,False,False,112.86632537841797,0.007922708056867123,0.003214230528101325,0.6005078875023173,0.17450593355568816,0.17450593355568816,32,0.0,
flat,60,0,54,78,24,False,False,318.71527099609375,0.01786930114030838,0.004590968601405621,0.5945032750096289,0.17450593355568816,0.17450593355568816,32,0.0,
flat,61,0,33,60,27,False,False,602.8529052734375,0.01612943783402443,0.0031876189168542624,0.5840430000025663,0.17450593355568816,0.17450593355568816,32,0.0,
flat,62,0,33,61,28,False,False,308.18011474609375,0.014120152220129967,0.0027266209945082664,0.5670258374957484,0.17450593355568816,0.17450593355568816,32,0.0,
flat,63,0,35,63,28,False,False,378.65771484375,0.010955455712974072,0.0031753797084093094,0.5590954000144848,0.17450593355568816,0.17450593355568816,32,0.0,
flat,64,0,37,69,32,False,False,667.1788330078125,0.006805415730923414,0.0029728757217526436,0.559971962509735,0.17450593355568816,0.17450593355568816,32,0.0,
flat,65,0,8,37,29,False,True,11.692523956298828,0.0008555137901566923,0.0018678342457860708,0.5992432499770075,0.17450593355568816,0.17450593355568816,16,0.0,
flat,66,0,24,51,27,False,False,329.8600769042969,0.00017876652418635786,0.011431587859988213,0.5957210500055226,0.17450593355568816,0.17450593355568816,32,0.0,
flat,67,0,13,37,24,False,False,100.80502319335938,0.008811945095658302,0.0013381352182477713,0.5722991625225404,0.17450593355568816,0.17450593355568816,32,0.0,
flat,68,0,22,53,31,False,False,175.0135498046875,0.012051827274262905,0.0009661122458055615,0.5975951125001302,0.17450593355568816,0.17450593355568816,32,0.0,
flat,69,0,5,32,27,False,False,213.5380096435547,0.0102852126583457,0.0033242187928408384,0.5911375249997946,0.17450593355568816,0.17450593355568816,32,0.0,
flat,70,0,54,79,25,False,False,330.03515625,0.0145298196002841,0.0028258198872208595,0.6259485874979873,0.17450593355568816,0.17450593355568816,32,0.0,
flat,71,0,12,36,24,False,False,769.426025390625,0.011912601999938488,0.00064709666185081,0.6030137749985442,0.17450593355568816,0.17450593355568816,32,0.0,
flat,72,0,37,61,24,False,False,608.634521484375,0.014120152220129967,0.0031700297258794308,0.5612417374941288,0.17450593355568816,0.17450593355568816,32,0.0,
flat,73,0,16,44,28,False,False,284.9859924316406,0.008670429699122906,0.0012387305032461882,0.5663208625119296,0.17450593355568816,0.17450593355568816,32,0.0,
flat,74,0,48,72,24,False,False,203.83096313476562,0.0016901055350899696,0.002081733662635088,0.5925851249921834,0.17450593355568816,0.17450593355568816,32,0.0,
flat,75,0,37,65,28,False,False,488.24444580078125,0.00017876652418635786,0.009838256053626537,0.5413338874859619,0.17450593355568816,0.17450593355568816,32,0.0,
flat,76,0,7,38,31,False,True,10.727104187011719,0.0006826893659308553,0.006178615149110556,0.5939820999961479,0.17450593355568816,0.17450593355568816,25,0.0,
flat,77,0,47,75,28,False,False,827.9739379882812,0.014422043226659298,0.015558923594653606,0.5574884624948027,0.17450593355568816,0.17450593355568816,32,0.0,
flat,78,0,52,78,26,False,False,228.38584899902344,0.01786930114030838,0.00562776904553175,0.5612265125018894,0.17450593355568816,0.17450593355568816,32,0.0,
flat,79,0,50,79,29,False,False,495.9835510253906,0.0145298196002841,0.0032239696010947227,0.5360022250242764,0.17450593355568816,0.17450593355568816,32,0.0,
flat,80,0,31,57,26,False,False,643.7780151367188,0.010466916486620903,0.003664417890831828,0.5688297500091721,0.17450593355568816,0.17450593355568816,32,0.0,
flat,81,0,8,37,29,False,False,158.30299377441406,0.0031108525581657887,0.0018678342457860708,0.5616391249932349,0.17450593355568816,0.17450593355568816,32,0.0,
flat,82,0,10,40,30,False,False,70.0247573852539,0.010004714131355286,0.004146726801991463,0.5764147374939057,0.17450593355568816,0.17450593355568816,32,0.0,
flat,83,0,51,76,25,False,False,810.4205322265625,0.014972975477576256,0.01603388972580433,0.5663210624989006,0.17450593355568816,0.17450593355568816,32,0.0,
flat,84,0,30,54,24,False,False,173.98829650878906,0.01055121049284935,0.0034426874481141567,0.5732896249974146,0.17450593355568816,0.17450593355568816,32,0.0,
flat,85,0,10,37,27,False,False,248.73843383789062,0.008811945095658302,0.002731531858444214,0.5692448374975356,0.17450593355568816,0.17450593355568816,32,0.0,
flat,86,0,49,79,30,False,False,277.8714599609375,0.0018410764168947935,0.003112723585218191,0.5682635750126792,0.17450593355568816,0.17450593355568816,32,0.0,
flat,87,0,35,64,29,False,False,396.1627197265625,0.008800549432635307,0.003722653491422534,0.5748350374924485,0.17450593355568816,0.17450593355568816,32,0.0,
flat,88,0,31,55,24,False,False,291.6241455078125,0.009652134962379932,0.0032542417757213116,0.5690018124951166,0.17450593355568816,0.17450593355568816,32,0.0,
flat,89,0,21,53,32,False,False,187.83636474609375,0.012051827274262905,0.0038871890865266323,0.570049324996944,0.17450593355568816,0.17450593355568816,32,0.0,
flat,90,0,23,48,25,False,False,189.5282440185547,0.0018076139967888594,0.0027082953602075577,0.5638699249902857,0.17450593355568816,0.17450593355568816,32,0.0,
flat,91,0,13,43,30,False,False,671.2225341796875,0.012861527502536774,0.0012427535839378834,0.5774650500097778,0.17450593355568816,0.17450593355568816,32,0.0,
flat,92,0,2,34,32,False,True,14.013190269470215,0.000462633790448308,0.0006060287705622613,0.5513288750080392,0.17450593355568816,0.17450593355568816,14,0.0,
flat,93,0,49,76,27,False,False,258.8617858886719,0.014972975477576256,0.00307650538161397,0.574843475005764,0.17450593355568816,0.17450593355568816,32,0.0,
flat,94,0,26,56,30,False,False,197.17384338378906,0.012016410939395428,0.0014551077038049698,0.5625991750130197,0.17450593355568816,0.17450593355568816,32,0.0,
flat,95,0,30,58,28,False,False,257.7380676269531,0.012044180184602737,0.004147260449826717,0.5610267624942935,0.17450593355568816,0.17450593355568816,32,0.0,
flat,96,0,18,46,28,False,True,14.733418464660645,0.00017876652418635786,0.012873826548457146,0.5761774999991758,0.17450593355568816,0.17450593355568816,29,0.0,
flat,97,0,42,66,24,False,False,183.42527770996094,0.006802365183830261,0.0036585330963134766,0.5834266250021756,0.17450593355568816,0.17450593355568816,32,0.0,
flat,98,0,1,31,30,False,False,61.49742889404297,0.005466318689286709,0.006302677094936371,0.5743391999931191,0.17450593355568816,0.17450593355568816,32,0.0,
flat,99,0,20,51,31,False,False,629.7396850585938,0.00017876652418635786,0.011224421672523022,0.583732824998151,0.17450593355568816,0.17450593355568816,32,0.0,
hierarchical,0,0,52,78,26,False,False,475.24798583984375,0.01786930114030838,0.00562776904553175,0.2930668749977485,0.17450593355568816,0.17450593355568816,32,0.18829567288048565,hierarchical_episode_000.gif
hierarchical,1,0,38,70,32,False,False,432.057861328125,0.010769973509013653,0.002925004344433546,0.2763004124863073,0.17450593355568816,0.17450593355568816,32,0.2701960075646639,hierarchical_episode_001.gif
